movieName,movieLength (min.),Studio,isItAnimated,ageRating,releaseYear
Big Hero 6,102,Walt Disney Animation,Yes,PG,2014
Star Wars (1977),121,Lucasfilms,No,PG,1977
The Avengers (2012),143,Marvel Studios,No,PG-13,2012
The Lego Movie,100,Warner Animation Group,Yes,PG,2014
Summer Wars (2009),114,Madhouse Inc.,Yes,PG,2009
Detective Pikachu,104,Legendary Pictures,No,PG,2019
Dragon Quest: Your Story,102,Shirogumi Inc.,Yes,PG-13,2019
Napoleon Dynamite,95,Fox Searchlight Pictures,No,PG,2004
Promare,111,Studio Trigger,Yes,PG-13,2019
Doctor Strange (2016),115,Marvel Studios,No,PG-13,2016
Gone with the Wind,221,Metro-Goldwyn-Mayer,No,G,1939
Avengers: Endgame,181,Marvel Studios,No,PG-13,2019
How to Train Your Dragon,98,Dreamworks Animation,Yes,PG,2010
Raya and the Last Dragon,107,Walt Disney Animation,Yes,PG,2021
The Other Side of Heaven,113,3Mark Entertainment,No,PG,2002
Toy Story 4,100,Pixar Animation Studios,Yes,G,2019
Soul Surfer,106,TriStar Pictures,No,PG,2011
The Boy and the Beast,120,Studio Chizu,Yes,PG-13,2015
Star Wars: The Force Awakens,135,Lucasfilms,No,PG-13,2015
Shazam! (2019),132,New Line Cinema,No,PG-13,2019
That Darn Cat! (1965),116,Walt Disney Pictures,No,G,1965
Ratatouille,111,Pixar Animation Studios,Yes,G,2007
Spider-Man: Into the Spider-Verse,117,Sony Pictures Animations,Yes,PG,2018
Shrek (2001),90,Dreamworks Animation,Yes,PG,2001
Ferris Bueller's Day Off,103,Paramount Pictures,No,PG-13,1986
Back to the Future,116,Universal Pictures,No,PG,1985
Finding Nemo,100,Pixar Animation Studios,Yes,G,2003
A Silent Voice,130,Kyoto Animations,Yes,PG-13,2016
Saving Mr. Banks (2013),125,Walt Disney Pictures,No,PG-13,2013
Toy Story 2,92,Pixar Animation Studios,Yes,G,1999
The Iron Giant,87,Warner Animation Group,Yes,PG,1999
Spider-Man (2002),121,Columbia Pictures,No,PG-13,2002
The Muppets (2011),103,Walt Disney Pictures,No,PG,2011
A Christmas Story,94,Metro-Goldwyn-Mayer,No,PG,1983
Groundhog Day,101,Columbia Pictures,No,PG,1993
Jurrassic Park (1993),128,Universal Pictures,No,PG-13,1993
The Sandlot,101,20th Century Fox,No,PG,1993
Peter Pan (1953),77,Walt Disney Animation,Yes,G,1953
Spirited Away,125,Studio Ghibli,Yes,PG,2001
Klaus (2019),97,Sergio Pablos Animation,Yes,PG,2019
Elf (2003),97,New Line Cinema,No,PG,2003
Rouge One: A Star Wars Story,133,Lucasfilms,No,PG-13,2016
Thor: Ragnarok,130,Marvel Studios,No,PG-13,2017
Weathering with You,112,CoMix Wave Films,Yes,PG-13,2019
Zootopia,108,Walt Disney Animation,Yes,PG,2016
Spies in Disguise,102,Blue Sky Studios,Yes,PG,2019
The Peanuts Movie,88,Blue Sky Studios,Yes,PG,2015
Mary Poppins,139,Walt Disney Pictures,No,G,1964
Sonic the Hedgehog (2019),96,Paramount Pictures,No,PG,2019
Frozen 2 (2019),103,Walt Disney Animation,Yes,PG,2019
The Girl Who Leapt Through Time (2006),98,Madhouse Inc.,Yes,PG,2006
Instructions Not Included (2013),122,Pantelion Films,No,PG-13,2013
My Neighbor Totoro,86,Studio Ghibli,Yes,G,1988
Captain America: Civil War,147,Marvel Studios,No,PG-13,2016
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
